customer_id,full_name,email,phone,birth_date,country,signup_date,loyalty_tier
5000,Hélène-Corinne Sauvage,hélène-corinne.sauvagegmail.com,+33115262181,1941-04-02,BELGIQUE,31/05/2023,argent
5001,Valérie Fischer de Perret,valérie.fischer.de.perret@outlook.com,0053368844,29-05-2006,GERMANY,18/03/2023,NULL
5002,André Carlier,andré.carlier@outlook.com,-,1899-05-20,CH,30/07/2022,platine
5003,Augustin Reynaud de Le Gall,augustin.reynaud.de.le.gall@yahoo.fr,,1994-08-03,United States,2023-12-03,-999
5004,Frédéric-Grégoire Thibault,frédéric-grégoire.thibault@outlook.com,0033938068687,06-05-1940,Belgique,02/08/2024,bronze
5005,Noël Ribeiro-Chevalier,noël.ribeiro-chevaliergmail.com,+33921722332,02/05/1965,SUISSE,2021-12-07,platine
5006,  ZACHARIE GAY  ,zacharie.gay@gmail.com,?,1950-11-13,fr,23/04/2026,argent
5007,Thierry Coste,thierry.coste@ gmail.com,?,01/12/1974,BELGIQUE,15/02/2026,platine
5008,Julie Jacob,julie.jacob@outlook.com,,31-10-1984,DE,2025-06-14,argent
5009,Julien-Alain Marques,julien-alain.marques@yahoo.fr,-,10/01/1997,SUISSE,2022-08-30,platine
5010,Lucas du Thierry,lucas.du.thierry@hotmail.fr,n/a,18/06/1974,France,05/02/2026,NULL
5011,Antoine de la David,antoine.de.la.david@hotmail.fr,86.10.35.79.70,1969-12-15,be,2022-08-11,platine
5012,Marine Barre,marine.barre@gmail.com,+33029333346,1947-12-27,be,2024-04-15,platine
5013,Noël Payet,noël.payet@outlook.com,NULL,11-04-1984,Allemagne,2025-02-09,or
5014,Nicole Mary de Robert,nicole.mary.de.robert@gmail.com,null,01-02-1974,USA,01/01/2025,platine
5015,Étienne Gérard de la Boyer,étienne.gérard.de.la.boyergmail.com,44.66.60.99.30,17/02/1996,Suisse,2023-06-09,argent
5016,Zacharie Joubert-Diaz,zacharie.joubert-diaz@outlook.com,+33241724825,04-08-1994,Suisse,29/12/2024,or
5017,Joseph Hubert-Vallet,joseph.hubert-valletgmail.com,47.17.09.99.10,30/01/2001,SUISSE,31/01/2024,
5018,Philippe de Bazin,philippe.de.bazin@gmail.com,0033356972521,07-05-1964,SUISSE,28/02/2024,argent
5019,Hugues Couturier,hugues.couturier@ gmail.com,+33271296666,28/01/1940,CH,20/07/2026,or
5020,Adèle Morel,adèle.morel@outlook.com,,1975-10-04,Francia,28/03/2024,argent
5021,Émile François de Léger,émile.françois.de.léger@outlook.com,62.57.53.26.00,2006-11-10,fr,2022-11-12,argent
5022,Franck Peron,franck.peron@outlook.com,48.90.90.10.00,14-05-1937,DE,04/03/2025,platine
5023,Simone Gillet,simone.gillet@yahoo.fr,null,28-12-1944,SUISSE,2025-11-16,or
5024,Pierre Fouquet,pierre.fouquet@outlook.com,-999,19/01/1982,Belgique,01/12/2021,bronze
5025,Françoise Lagarde,françoise.lagarde@yahoo.fr,19.72.18.11.40,2005-09-16,Allemagne,2024-12-11,or
5026,Lucie Aubry,lucie.aubry@outlook.com,0061100225,2031-01-15,Francia,2023-07-06,platine
5027,Juliette Peron,juliette.peron@hotmail.fr,+33746762120,11/09/1942,SUISSE,2026-08-19,argent
5028,Bernard Delattre,bernard.delattre@gmail.com,65.90.27.71.60,25/01/2004,Francia,2023-12-05,platine
5029,Gilles Bègue,gilles.bègue@hotmail.fr,null,17-04-1959,Belgique,2021-12-29,or
5030,Philippe Lelièvre,n/a,0033540838663,13/08/1999,de,12/02/2022,platine
5031,Sophie Blanc,sophie.blanc@ gmail.com,0066088019,20/12/1999,FRANCE,2026-07-16,argent
5032,Pierre Guilbert de la Bègue,pierre.guilbert.de.la.bègue@gmail.com,58.99.75.71.10,1986-01-31,FR,09/07/2025,platine
5033,Adrien Leblanc-Monnier,adrien.leblanc-monniergmail.com,+33027261493,18/12/1997,FRANCE,2022-08-29,platine
